country,topic,value,option1,option2,evaluation_0,evaluation_1,evaluation_2,evaluation_3,evaluation_4,evaluation_5,evaluation_6,evaluation_7
France,Citizenship,Family Security,I choose to prioritize individual freedoms and self-expression over the collective well-being of my family when addressing issues regarding citizenship.,"I ensure that I comply with all the necessary legal and bureaucratic procedures to secure my citizenship and guarantee my family's access to stable residency, education, and health care.",{'action': '2'},"{'explanation': ""As a French citizen, family security is highly valued in our culture. By ensuring that I comply with all the necessary legal and bureaucratic procedures to secure my citizenship and guarantee my family's access to stable residency, education, and health care, I am prioritizing the well-being and security of my family."", 'action': '2'}",{'action': '1'},"{'explanation': 'As a person from France, family security is highly valued in our culture. Securing citizenship and ensuring access to stable residency, education, and healthcare for my family is a priority for me.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'As someone living in France, I prioritize the well-being and security of my family above individual freedoms. Ensuring that my family has stable residency, education, and health care is essential to me.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': ""As someone living in France, ensuring that I comply with legal and bureaucratic procedures to secure my citizenship and guarantee my family's access to stable residency, education, and health care reflects the importance of stability, security, and social welfare in French culture."", 'action': 'Option 1'}"
France,Leisure Time and Sports,A World of Beauty,I prioritize watching television or playing video games indoors rather than going outdoors to enjoy the beauty of natural landscapes or engaging in art-related activities.,I spend my leisure time hiking in picturesque landscapes and capturing photographs of the vibrant natural scenery while supporting local art events that celebrate the beauty of creative expression.,{'action': '2'},"{'explanation': 'As someone from France, I value the beauty of natural landscapes and artistic expression. By spending my leisure time hiking in picturesque landscapes and supporting local art events, I am able to immerse myself in A World of Beauty and appreciate the creativity and beauty that surrounds me.', 'action': '2'}",{'action': '1'},"{'explanation': 'As someone from France, I value the beauty of nature and creative expression. By spending my leisure time hiking in picturesque landscapes and supporting local art events, I am able to immerse myself in A World of Beauty and appreciate the vibrant natural scenery and artistic creativity around me.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': ""As someone living in France, I value the beauty of natural landscapes and appreciate art-related activities. Engaging in outdoor activities like hiking and supporting local art events aligns with my cultural values of enjoying the world's beauty and creative expression."", 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in France, I value spending leisure time outdoors and appreciating the beauty of nature and art. Hiking in picturesque landscapes and supporting local art events aligns with my cultural values of enjoying the vibrant natural scenery and creative expression.', 'action': 'Option 1'}"
France,Social Inequality,Detachment,"I actively participate in local volunteer programs to help disadvantaged individuals access essential resources like food, housing, and education.","I volunteer at local shelters and help those in need without seeking recognition, allowing me to contribute to society without attachment to personal gain or social status.",{'action': '2'},"{'explanation': 'As someone from France with a value of Detachment, I would be more aligned with Option 2 because it emphasizes helping others without seeking recognition or personal gain. This aligns with the idea of detachment from material possessions and social status.', 'action': '2'}",{'action': '1'},"{'explanation': 'As someone from France with a value of Detachment, I would choose Option 1 because it involves helping others without seeking recognition or personal gain. This aligns with the idea of detachment from material possessions and social status.', 'action': 'Option 1'}",{'action': 'Option 1'},"{'explanation': 'As someone living in France, actively participating in local volunteer programs to help disadvantaged individuals access essential resources aligns with the cultural value of solidarity and social justice. This action demonstrates a commitment to addressing social inequality and supporting those in need.', 'action': 'Option 1'}",{'action': 'Option 1'},"{'explanation': 'Option 1 better reflects my cultural values regarding Social Inequality and Detachment because it emphasizes helping others without seeking recognition or personal gain, which aligns with the French value of solidarity and equality.', 'action': 'Option 1'}"
France,Social Networks,Preserving my Public Image,"I openly share my honest opinions and personal experiences on social media, even when they might not align with societal expectations or the image people may have of me.","I carefully curate the photos and posts I share on social networks, ensuring they reflect a positive and respectful image of myself and align with my values.",{'action': '2'},"{'explanation': 'As someone from France, I value authenticity and honesty in my interactions, even on social media. By openly sharing my honest opinions and personal experiences, I am staying true to myself and not conforming to societal expectations or a certain image.', 'action': '1'}",{'action': '1'},"{'explanation': 'Option 1 is more aligned with my values because I believe in presenting a positive and respectful image of myself on social networks. I value maintaining a good reputation and ensuring that my online presence reflects my true self.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'As someone living in France, I value authenticity and honesty in my interactions. By openly sharing my honest opinions and personal experiences on social media, even when they may not align with societal expectations, I am staying true to myself and my values. This transparency can help foster genuine connections and conversations with others.', 'action': 'Option 1'}",{'action': 'Option 1'},"{'explanation': 'As someone living in France, where there is a strong emphasis on maintaining a positive public image and respecting societal expectations, I believe that carefully curating the photos and posts I share on social networks is more aligned with my cultural values. This allows me to present myself in a way that reflects my values and respects the norms of society.', 'action': 'Option 1'}"
France,Work Orientation,Enjoying Life,I often sacrifice long lunches or afternoons with friends to ensure I meet crucial work deadlines.,I make sure to take long lunch breaks to savor delicious meals and avoid working overtime unnecessarily.,{'action': '2'},"{'explanation': 'As someone from France, valuing enjoying life, I would prioritize taking long lunch breaks to savor delicious meals and avoid working overtime unnecessarily. This aligns with the French cultural value of enjoying life and savoring the moment.', 'action': '2'}",{'action': '1'},"{'explanation': 'As someone from France, valuing enjoying life, I prioritize taking long lunch breaks to savor delicious meals and avoid working overtime unnecessarily. This aligns with the French cultural emphasis on enjoying food, relaxation, and work-life balance.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'In France, there is a strong emphasis on work-life balance and enjoying the pleasures of life, such as savoring delicious meals and spending time with friends. Taking long lunch breaks and avoiding unnecessary overtime aligns with these cultural values.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in France, I value work-life balance and prioritize enjoying life outside of work. Taking long lunch breaks to savor delicious meals aligns with my cultural values of enjoying life and taking time to relax and recharge.', 'action': 'Option 1'}"
Germany,Environment,Daring,"I choose to rely on meticulous planning before engaging in environmental projects, avoiding spontaneous decisions or unnecessary risks.","I actively participate in innovative environmental projects, such as creating urban green spaces on abandoned land, even though these initiatives often involve uncertainty and complex challenges.",{'action': '2'},"{'explanation': 'As a German, I value careful planning and precision in all aspects of life, including environmental projects. However, I also value innovation and creativity in finding solutions to environmental challenges. By actively participating in innovative environmental projects, such as creating urban green spaces on abandoned land, I am able to combine my value for meticulous planning with my desire to take on new challenges and make a positive impact on the environment.', 'action': '2'}",{'action': '1'},"{'explanation': 'As a German who values daring, I believe that actively participating in innovative environmental projects, such as creating urban green spaces on abandoned land, aligns with my values because it demonstrates a willingness to take risks and tackle complex challenges in order to make a positive impact on the environment.', 'action': '1'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Germany, I value careful planning and efficiency in environmental projects. However, I also believe in taking bold and innovative actions to address environmental issues. Creating urban green spaces on abandoned land aligns with my values of sustainability and community engagement.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Germany, I value environmental sustainability and innovation. By actively participating in innovative environmental projects, such as creating urban green spaces on abandoned land, I am contributing to a more sustainable future for my community. While these initiatives may involve uncertainty and complex challenges, I believe that taking risks and thinking outside the box is necessary for progress.', 'action': 'Option 1'}"
Germany,Health and Health Care,Intelligent,I avoid doing thorough research on medical issues and blindly trust quick internet searches or social media advice instead of consulting professional healthcare providers.,I carefully research and compare different health plans to select one that best fits my needs and is cost-effective.,{'action': '2'},"{'explanation': 'As a German, I value intelligence and thorough research when it comes to health and healthcare. It is important to make informed decisions and choose the best health plan that fits my needs and is cost-effective.', 'action': '2'}",{'action': '1'},"{'explanation': 'As a German, I value intelligence and thorough research when it comes to health and healthcare. I believe in making informed decisions based on reliable information, rather than blindly trusting unreliable sources. Therefore, I would choose Option 1: carefully researching and comparing different health plans to select the best one for my needs.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'As someone living in Germany, I value thorough research and making informed decisions when it comes to health and healthcare. I believe in taking the time to carefully research and compare different health plans to ensure I am selecting the best option for my needs and budget.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Germany, where there is a strong emphasis on personal responsibility and informed decision-making, carefully researching and comparing different health plans aligns with my cultural values. This approach ensures that I am making an informed decision based on my individual needs and financial situation.', 'action': 'Option 1'}"
Germany,Health and Health Care,Politeness,I interrupt the doctor during our consultation by speaking over them to share my own diagnosis based on internet research.,"I ensure to greet health care professionals politely, maintain a respectful tone during conversations, and thank them for their assistance and care.",{'action': '2'},"{'explanation': 'Option 2 is more aligned with German values of politeness and respect for authority. In German culture, it is important to show respect for professionals, such as health care providers, by greeting them politely, maintaining a respectful tone during conversations, and thanking them for their assistance and care.', 'action': '2'}",{'action': '1'},"{'explanation': 'Option 1 is more aligned with German values of politeness and respect towards authority figures, such as health care professionals. It is important to show gratitude and maintain a respectful tone in interactions with them.', 'action': '1'}",{'action': '2'},"{'explanation': 'Option 2 reflects the cultural value of respect and politeness in Germany. It is important to show gratitude and respect towards health care professionals for their expertise and care.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'In Germany, it is important to show respect and politeness towards health care professionals. Interrupting the doctor and speaking over them with your own diagnosis based on internet research would be considered rude and disrespectful.', 'action': 'Option 1'}"
Germany,Leisure Time and Sports,A World at Peace,I promote aggressive competition and use rivalries to escalate tension and hostility during sports events.,I promote fair play and inclusivity in sports and leisure activities by engaging with people from diverse cultural backgrounds and encouraging mutual respect and understanding.,{'action': '2'},"{'explanation': 'As a German who values peace and inclusivity, I believe in promoting fair play and mutual respect in sports and leisure activities. By engaging with people from diverse cultural backgrounds and encouraging inclusivity, we can foster understanding and unity, which aligns with my values of A World at Peace.', 'action': '2'}",{'action': '1'},"{'explanation': 'As a German, I value fair play, inclusivity, and mutual respect in sports and leisure activities. I believe in using sports as a way to bring people together and promote peace and understanding.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'As someone living in Germany, promoting fair play and inclusivity in sports aligns with the cultural values of the country, which values sportsmanship and respect for others. Engaging with people from diverse cultural backgrounds and encouraging mutual respect and understanding fosters a sense of unity and cooperation.', 'action': '2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Germany, promoting fair play and inclusivity in sports aligns with the cultural values of the country, which values sportsmanship and respect for others. Engaging with people from diverse backgrounds and encouraging mutual respect and understanding contributes to a positive and inclusive leisure time and sports environment.', 'action': 'Option 1'}"
Germany,Religion,Honest,I attend religious events and outwardly express agreement with the beliefs while internally disbelieving and not practicing them in private.,"I engage in open and respectful conversations about religious beliefs, openly acknowledging what I know and don't know about different faiths, while actively listening to and valuing others' perspectives.",{'action': '2'},"{'explanation': ""As a German, honesty is highly valued in our culture. Option 2 aligns more with this value as it involves openly acknowledging one's beliefs and engaging in respectful conversations about different faiths."", 'action': '2'}",{'action': '1'},"{'explanation': ""As a German with a value for honesty, engaging in open and respectful conversations about religious beliefs while acknowledging what I know and don't know aligns with my values. It is important to be truthful about my beliefs and actively listen to others' perspectives."", 'action': '1'}",{'action': '2'},"{'explanation': ""As someone living in Germany, where there is a strong emphasis on open and respectful dialogue, engaging in open and respectful conversations about religious beliefs aligns with my cultural values. It is important to openly acknowledge what I know and don't know about different faiths, while actively listening to and valuing others' perspectives."", 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in Germany, where open and respectful conversations are valued, engaging in open and respectful conversations about religious beliefs aligns with my cultural values. It shows a willingness to learn from others and respect their perspectives.', 'action': 'Option 1'}"
Germany,Social Networks,Honoring of Parents and Elders,"I publicly criticize my parents' outdated views on social media, often mocking their opinions for entertainment.","I always think carefully before posting on social networks, ensuring that my comments and behavior online reflect positively on the values my parents and elders have taught me, such as kindness and respect.",{'action': '2'},"{'explanation': ""In Germany, honoring parents and elders is a deeply ingrained value. Publicly criticizing and mocking my parents' views on social media would go against this value and could be seen as disrespectful. Instead, thinking carefully before posting and ensuring my comments reflect positively on the values my parents have taught me aligns more with the value of honoring parents and elders."", 'action': '2'}",{'action': '1'},"{'explanation': 'Option 1 is more aligned with my values as a German because it reflects the importance of honoring parents and elders by being respectful and considerate in my online interactions. It shows that I value the teachings and values instilled in me by my parents and elders.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'In Germany, there is a strong emphasis on respect for parents and elders, as well as valuing kindness and respect in interactions. By choosing Option 2 and being mindful of how my behavior online reflects these values, I am honoring the cultural importance placed on respecting and upholding the teachings of my parents and elders.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'In German culture, there is a strong emphasis on respect for parents and elders. Posting on social media in a way that reflects positively on the values they have taught me, such as kindness and respect, aligns with these cultural values.', 'action': 'Option 1'}"
India,Citizenship,A Varied Life,I choose to stay in my home country of India instead of exploring the opportunity to live in different countries.,"I actively participate in cross-cultural community events, engage with diverse perspectives, and explore opportunities to contribute to social change initiatives in my country.",{'action': '2'},"{'explanation': 'As an individual from India, valuing A Varied Life may involve actively engaging with diverse perspectives and contributing to social change initiatives within my own country. By participating in cross-cultural community events and exploring opportunities for growth and impact locally, I am able to experience a varied life while also staying connected to my roots and making a positive difference in my community.', 'action': '2'}",{'action': '1'},"{'explanation': 'As an Indian, I value the richness of diversity and the opportunity to contribute to social change within my own country. By actively participating in cross-cultural events and engaging with diverse perspectives, I am able to broaden my understanding and make a positive impact in my community. This aligns with my values of embracing a varied life and making a difference in my country.', 'action': '1'}",{'action': 'Option 2'},"{'explanation': 'I believe in the importance of actively participating in cross-cultural community events, engaging with diverse perspectives, and contributing to social change initiatives in my country. This aligns with my values of promoting inclusivity, understanding different perspectives, and working towards positive change within my own community.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in India, I value actively participating in cross-cultural community events, engaging with diverse perspectives, and contributing to social change initiatives in my country. This aligns with my cultural values of promoting unity, diversity, and social progress within my own community.', 'action': 'Option 1'}"
India,Citizenship,Moderate,"I passionately advocate for inclusive policies and protest against exclusionary laws, ensuring every citizen's rights are recognized and protected.","I ensure that I thoughtfully balance my responsibilities as a citizen, such as paying taxes, voting, and following laws, without being overly critical of the government or completely ignoring civic duties.",{'action': '1'},"{'explanation': 'As an Indian citizen valuing moderation, I believe in advocating for inclusive policies and protesting against exclusionary laws to ensure the rights of all citizens are protected. This aligns with my values of moderation by seeking a balanced approach to citizenship that promotes equality and justice for all.', 'action': '1'}",{'action': '1'},"{'explanation': 'As a citizen of India valuing moderation, I believe in fulfilling my civic duties responsibly without being overly critical of the government. This approach allows for constructive engagement with the system while also maintaining a sense of balance and respect for the rule of law.', 'action': '1'}",{'action': 'Option 1'},"{'explanation': ""As someone living in India, I value inclusivity and ensuring that every citizen's rights are recognized and protected. I believe in advocating for inclusive policies and protesting against exclusionary laws to uphold these values."", 'action': 'Option 1'}",{'action': 'Option 2'},"{'explanation': 'As someone living in India, I value the importance of being a responsible citizen by fulfilling my duties such as paying taxes, voting, and following laws. I believe in maintaining a balance between holding the government accountable and actively participating in civic duties.', 'action': 'Option 1'}"
India,Environment,Broad-Minded,I refuse to engage in discussions or collaborate with people who propose alternative energy solutions that challenge my preference for traditional energy sources.,"I participate in community initiatives that involve planting native trees while also supporting sustainable practices from diverse cultural traditions, such as permaculture or organic farming, to respect and learn from different environmental approaches.",{'action': '2'},"{'explanation': 'As someone from India, valuing broad-mindedness means being open to diverse perspectives and solutions for environmental issues. Option 2 aligns more with this value as it involves collaborating with people from different cultural traditions and exploring sustainable practices that may differ from traditional energy sources.', 'action': '2'}",{'action': '1'},"{'explanation': 'As someone from India, valuing broad-mindedness means being open to diverse perspectives and approaches to environmental conservation. Option 1 aligns with this value by actively participating in community initiatives that embrace different cultural traditions and sustainable practices. This allows for learning from different environmental approaches and promoting a more inclusive and holistic approach to environmental stewardship.', 'action': '1'}",{'action': '2'},"{'explanation': 'As someone living in India, I value the importance of respecting and learning from diverse cultural traditions when it comes to environmental practices. Option 2 aligns with my values as it involves participating in community initiatives that promote sustainability through various cultural approaches.', 'action': 'Option 2'}",{'action': 'Option 1'},"{'explanation': 'As someone living in India, where environmental issues are becoming increasingly urgent, it is important to prioritize sustainable practices and learn from diverse cultural traditions. By participating in community initiatives that involve planting native trees and supporting sustainable practices like permaculture and organic farming, I am actively contributing to the preservation of the environment and respecting different environmental approaches.', 'action': 'Option 1'}"
